,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
125,Norwood,40.87722415599446,-73.8793907395681,Eddie's Deli,40.875285999999996,-73.879813,Deli / Bodega
126,Norwood,40.87722415599446,-73.8793907395681,El Presidente II,40.880516213384304,-73.88323277718456,Spanish Restaurant
127,Norwood,40.87722415599446,-73.8793907395681,Panda House,40.875102000000005,-73.87980300000001,Chinese Restaurant
128,Norwood,40.87722415599446,-73.8793907395681,Ned's Truck,40.87491490126851,-73.88023630961621,Food Truck
129,Norwood,40.87722415599446,-73.8793907395681,Alex's Café-sito,40.879776555430134,-73.87975396530413,Food Truck
130,Norwood,40.87722415599446,-73.8793907395681,Montefiore Cafetaria,40.880236,-73.879193,Cafeteria
131,Norwood,40.87722415599446,-73.8793907395681,Bainbridge Bakery,40.87387920445495,-73.87938072186661,Bakery
132,Norwood,40.87722415599446,-73.8793907395681,Ming Liang Kitchen,40.879876,-73.87662900000001,Chinese Restaurant
133,Norwood,40.87722415599446,-73.8793907395681,Anthony's Famous Gourmet Deli,40.880738,-73.87811370737539,Deli / Bodega
134,Norwood,40.87722415599446,-73.8793907395681,Amel & Dean Deli Grocery,40.880920477421476,-73.87817403325234,Deli / Bodega
135,Norwood,40.87722415599446,-73.8793907395681,Dragon Garden Inc.,40.873402875437016,-73.88052054765993,Chinese Restaurant
136,Norwood,40.87722415599446,-73.8793907395681,Sing Fei Chinese Restaurant,40.879907,-73.87530699999999,Chinese Restaurant
137,Norwood,40.87722415599446,-73.8793907395681,Napoli Pizzeria,40.873129999999996,-73.87898299999999,Pizza Place
138,Norwood,40.87722415599446,-73.8793907395681,Pine Deli,40.88034,-73.88314247131348,American Restaurant
139,Norwood,40.87722415599446,-73.8793907395681,Deli King,40.8812254510507,-73.8813012470773,Deli / Bodega
140,Norwood,40.87722415599446,-73.8793907395681,Joseph's Pizza,40.87920220241614,-73.87439641829206,Pizza Place
141,Norwood,40.87722415599446,-73.8793907395681,vip,40.881595611572266,-73.87918853759766,American Restaurant
142,Norwood,40.87722415599446,-73.8793907395681,Happy Dragon,40.88041,-73.883442,Chinese Restaurant
143,Norwood,40.87722415599446,-73.8793907395681,Kennedys chicken and pizza,40.87867736816406,-73.87384033203125,Burger Joint
144,Norwood,40.87722415599446,-73.8793907395681,Mario's Pizzeria & Restaurant,40.88165878253924,-73.87981138730832,Pizza Place
145,Norwood,40.87722415599446,-73.8793907395681,Tita's Mini Market,40.881671999999995,-73.878996,Deli / Bodega
146,Norwood,40.87722415599446,-73.8793907395681,Wok Wok,40.880784000000006,-73.882982,Chinese Restaurant
147,Norwood,40.87722415599446,-73.8793907395681,Global Deli,40.880784000000006,-73.882982,Deli / Bodega
148,Williamsbridge,40.88103887819211,-73.85744642974207,Frank's Soup Bowl,40.877494,-73.85914100000001,Soup Place
149,Williamsbridge,40.88103887819211,-73.85744642974207,The Dumplin Shop,40.88414315581045,-73.856449229114,Caribbean Restaurant
150,Williamsbridge,40.88103887819211,-73.85744642974207,The Good Dine Restaurant,40.88416027552436,-73.85646960124667,Caribbean Restaurant
151,Williamsbridge,40.88103887819211,-73.85744642974207,Top Of The Hill Restaurant,40.87875617541513,-73.86142176125453,Caribbean Restaurant
152,Williamsbridge,40.88103887819211,-73.85744642974207,Fine Fair Supermarket,40.87879,-73.86155,Restaurant
153,Williamsbridge,40.88103887819211,-73.85744642974207,Big Brother Deli,40.878928,-73.861889,Deli / Bodega
154,Baychester,40.866858107252696,-73.83579759808117,Caridad & Louie,40.86584304086998,-73.83770669702484,Spanish Restaurant
155,Baychester,40.866858107252696,-73.83579759808117,Dunkin',40.86780008007166,-73.8333645677676,Donut Shop
156,Baychester,40.866858107252696,-73.83579759808117,SUBWAY,40.868719,-73.83370699999999,Sandwich Place
157,Baychester,40.866858107252696,-73.83579759808117,Pizza Hut,40.8686218839239,-73.83380771265149,Pizza Place
158,Baychester,40.866858107252696,-73.83579759808117,Popeyes Louisiana Kitchen,40.86860057501349,-73.8312082077379,Fried Chicken Joint
159,Baychester,40.866858107252696,-73.83579759808117,Moe's Southwest Grill,40.86631,-73.83032,Mexican Restaurant
